Layer,Output Shape
input_1,"[(None, 256, 256, 3)]"
conv2d,"(None, 256, 256, 64)"
conv2d_1,"(None, 256, 256, 64)"
max_pooling2d,"(None, 128, 128, 64)"
conv2d_2,"(None, 128, 128, 128)"
conv2d_3,"(None, 128, 128, 128)"
max_pooling2d_1,"(None, 64, 64, 128)"
conv2d_4,"(None, 64, 64, 256)"
conv2d_5,"(None, 64, 64, 256)"
max_pooling2d_2,"(None, 32, 32, 256)"
conv2d_6,"(None, 32, 32, 512)"
conv2d_7,"(None, 32, 32, 512)"
max_pooling2d_3,"(None, 16, 16, 512)"
conv2d_8,"(None, 16, 16, 1024)"
conv2d_9,"(None, 16, 16, 1024)"
up_sampling2d,"(None, 32, 32, 1024)"
conv2d_10,"(None, 32, 32, 512)"
concatenate,"(None, 32, 32, 1024)"
conv2d_11,"(None, 32, 32, 512)"
conv2d_12,"(None, 32, 32, 512)"
up_sampling2d_1,"(None, 64, 64, 512)"
conv2d_13,"(None, 64, 64, 256)"
concatenate_1,"(None, 64, 64, 512)"
conv2d_14,"(None, 64, 64, 256)"
conv2d_15,"(None, 64, 64, 256)"
up_sampling2d_2,"(None, 128, 128, 256)"
conv2d_16,"(None, 128, 128, 128)"
concatenate_2,"(None, 128, 128, 256)"
conv2d_17,"(None, 128, 128, 128)"
conv2d_18,"(None, 128, 128, 128)"
up_sampling2d_3,"(None, 256, 256, 128)"
conv2d_19,"(None, 256, 256, 64)"
concatenate_3,"(None, 256, 256, 128)"
conv2d_20,"(None, 256, 256, 64)"
conv2d_21,"(None, 256, 256, 64)"
conv2d_22,"(None, 256, 256, 2)"
conv2d_23,"(None, 256, 256, 1)"
